OBJECTID,TREE_ID,SUB_NAME,SUB_GENUS,SUB_SPECIES,SUB_VARIETY,PLANTS,USER_ID,DATE_ADDED,DATE_UPDATED,NAME,SUB_ID,LATITUDE,LONGITUDE,ADDRESS,NOTES,DBH,REVISIT_ID,REVISIT_DATE_ADDED,REVISIT_DATE_UPDATED,REVISIT_NOTES,REVISIT_TYPE,CROWN_VIGOR,LEAF_DEFOLIATIONF,LEAF_DISCOLORATIONF,FINE_TWIG_DIEBACKF,CROWN_LIGHT_EXPOSURE,CROWN_DENSITY_TRANS,INV_CROWN_VIGOR,PercImpervious,PercentRenters,MedianHomeValue,Vpdmax_july,Vpdmax_aug,UDO,ZONE_GEN,ZoneShort,pm_t_f,am_t_f,af_t_f
97,8B2B84B1-F6D8-41A2-88D3-28ADC9E65BA7,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,20:47.0,,S-P21-LAUN-004,6931,36.000987,-78.898429,"206 Broadway St #7300, Durham, NC 27701, USA","DBH measured at 4'1""",2.5,366,22:02.0,,,2,1,2,2,5,5,45,5,92,74.9,363600,24.47979927,21.92829895,DD-S1,DOWNTOWN DESIGN-SUPPORT 1,DOW,82.76876068,68.82610321,84.83457184
98,4C0AD4F7-73A6-44F8-A96C-28C81B5CFD62,Freeman maple,Acer,x freemanii,NA,ACFR                ,189796,28:22.0,02:20.6,S-Q21-ACXF-051,55869,35.99652,-78.904748,"109 W Chapel Hill St, Durham, NC 27701, USA",,6.5,263,30:16.0,,"Epicormic branching, yellowing leaves, broken branches, root decay",2,3,2,2,20,5,45,3,77,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.70806885,68.52800751,85.52568054
99,A0916A78-ACAC-4100-A673-292FFE0E6F00,plum/cherry,Prunus,spp.,NA,PRUNU               ,189796,53:23.0,13:50.4,S-O18-PRUN-024,6898,36.008273,-78.936773,"2250 Erwin Rd, Durham, NC 27705, USA","Dbh measured at 1'5""",10.1,5,55:44.0,,,2,2,1,2,25,2,35,4,79,100,,24.16559982,21.82219887,UC, , ,83.44650269,69.98348999,85.13071442
100,1EDADB74-76CE-45FE-8D50-293D9C202ED1,willow oak,Quercus,phellos,NA,QUPH                ,189796,40:31.0,,S-O21-QUPH-107,3343,36.005573,-78.891748,"207 E Trinity Ave, Durham, NC 27701, USA",,42.5,323,41:34.0,,,2,2,1,1,10,5,45,4,30,54.5,367200,24.53689957,21.95469856,RU-5(2),RES_HIGH_DENSITY,RES,81.46938324,67.08283234,83.64897919
101,CD77E60F-FFFE-48C0-932A-2954903BF4FD,American elm,Ulmus,americana,NA,ULAM                ,189796,02:13.0,52:45.0,S-Q21-ULAM-007,3358,35.99435,-78.90182,"Pettigrew St at Mangum St (WB), Durham, NC 27701, USA",,4.4,221,03:17.0,,,2,1,2,1,1,5,15,5,72,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.20201874,69.17055511,84.35473633
104,F9A6315C-BC9A-4FB9-A91F-2B14583B432C,red maple,Acer,rubrum,NA,ACRU                ,189796,38:20.0,18:24.9,S-Q21-ACRU-022,3247,35.994211,-78.90199,"Pettigrew St at Mangum St (WB), Durham, NC 27701, USA",,5.3,236,39:51.0,,,2,3,1,2,25,5,45,3,72,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.14505768,69.1635437,84.21910858
105,17C2537B-58CC-4606-B97E-2B224E6ECF90,scarlet oak,Quercus,coccinea,NA,QUCO2               ,189796,26:18.0,,S-M19-QUCO-031,3328,36.025445,-78.911877,"1301 Leon St, Durham, NC 27705, USA","Dbh taken at 3'11""",20.6,465,27:51.0,,"Large branch dieback, insect defoliation in small amounts throughout crowm",2,2,2,2,10,4,35,4,51,65.4,188900,24.41459846,21.84000015,RU-M,RES_HIGH_DENSITY,RES,81.95349884,67.03040314,84.66957855
106,590FAD9B-0228-4B11-BDBD-2BAC1642957C,unlisted plant,,,NA,,189796,13:11.0,,S-M19-NYSY-006,59420,36.025303,-78.915658,"1425 Hudson Ave, Durham, NC 27705, USA",Nyssa sylvatica,15.4,450,14:38.0,,,2,2,2,2,1,4,25,4,54,65.4,188900,24.3572998,21.82219887,RU-5,RES_MEDIUM_DENSITY,RES,81.74591827,67.22389221,84.56179047
107,38D7B513-FF46-40EC-AA11-2C54F870B1D6,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,41:13.0,09:56.4,S-Q21-GYDI-039,3986,35.995935,-78.903729,"212 Ramseur St, Durham, NC 27701, USA",,6.11,253,42:08.0,,Root decay,2,1,1,1,1,5,45,5,82,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.65740967,68.24123383,85.45637512
108,37547CDC-294A-4273-B91C-2C7D0DD366E6,red maple,Acer,rubrum,NA,ACRU                ,179696,14:08.0,33:41.2,S-O21-ACRU-021,3247,36.0054,-78.89569,"119 W Trinity Ave, Durham, NC 27701, USA",,18.31,129,16:03.0,,Epicormic branching ,2,3,1,2,20,4,65,3,19,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.42172241,67.50730133,84.31744385
109,E5E65D3F-A0CB-4035-B1C5-2CDB8DA2C62A,eastern redbud,Cercis,canadensis,NA,CECA4               ,189796,10:43.0,53:40.9,S-P21-CECA-052,3273,36.00027,-78.8956,"909 Cleveland St, Durham, NC 27701, USA",The tree is slant.,1.05,411,11:58.0,,Significant basal sprout; the trunk is slant.,2,3,2,4,5,5,45,3,45,74.9,363600,24.51280022,21.95669937,CG,COMMERCIAL,COM,82.93266296,68.46787262,84.27589417
110,F82A00CA-6EEC-4522-9057-2DAADD64049F,winged elm,Ulmus,alata,NA,ULAL                ,189796,15:52.0,25:55.0,S-U16-ULAL-016,3357,35.95351,-78.95575,"3406 Windsor Way, Durham, NC 27707, USA",,19.15,577,24:23.0,24:23.0,,2,3,1,2,45,4,75,3,6,2.4,654300,24.45809937,22.0257988,RS-10,RES_LOW_DENSITY,RES,80.7624588,67.92888641,82.11253357
112,D936607F-53B2-41F6-AB75-2DF95A099EF8,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,43:37.0,03:15.8,S-Q21-ZESE-066,18056,35.99685,-78.903995,"347 W Main St, Durham, NC 27701, USA",,8.4,274,44:58.0,51:24.0,,2,3,1,2,30,4,45,3,79,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.64878082,68.53215027,85.73213959
113,A4F1D9D2-DB80-4CCA-A4F3-2E85BFD6D590,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,36:39.0,59:30.0,S-O18-CECA-012,3273,36.008409,-78.9386,"Durham, NC, Durham, NC 27710, USA","DBH measured at 2'10""",1.7,7,38:21.0,,,2,3,3,2,1,5,45,3,69,99.5,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.24851227,70.22767639,85.1673584
115,F2DC5601-D2E0-49EB-BB27-2FE2E3A289F2,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,08:56.0,10:16.8,S-Q21-GYDI-045,3986,35.996229,-78.904268,"111 W Chapel Hill St, Durham, NC 27701, USA",,3,259,10:24.0,,Yellowed leaves,2,2,1,2,1,5,55,4,81,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.7634964,68.38996124,85.4539566
118,B6235974-0488-4274-8277-30C5E2F0C3D3,plum/cherry,Prunus,spp.,NA,PRUNU               ,179696,37:04.0,14:49.3,S-O21-PRUN-026,6898,36.00537,-78.89538,"113 W Trinity Ave, Durham, NC 27701, USA",,1,133,38:33.0,,Large pieces of bark used as mulch.,2,1,2,1,1,5,45,5,18,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.55983734,67.56628418,84.25730133
119,FB333E11-32DC-4279-AE86-3110E8126205,elm,Ulmus,spp.,NA,ULMUS               ,189796,28:45.0,,S-P21-ULUN-019,3478,36.000407,-78.894553,"207 Dowd St, Durham, NC 27701, USA",,1.6,380,32:35.0,,Some broken branches due to stake,2,2,1,2,20,5,65,4,60,74.9,363600,24.51280022,21.95669937,RU-5,RES_MEDIUM_DENSITY,RES,82.7069397,67.82990265,84.3285141
120,CEDCA89C-0ADC-4332-A530-3181AE0760B4,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,51:41.0,10:41.5,S-Q21-GYDI-041,3986,35.996032,-78.903906,"212 Ramseur St, Durham, NC 27701, USA",,4.25,255,53:50.0,,,2,1,1,2,1,5,45,5,82,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.78113556,68.32190704,85.56943512
123,B51D5E9B-6136-4A7C-ACE6-32AC277A80FE,European smoketree,Cotinus,coggygria,NA,COCO10              ,189796,05:37.0,,S-M19-COCO-004,17245,36.025432,-78.915783,"1425 Hudson Ave, Durham, NC 27705, USA","Multistemmed, 1.64 measured at 1'4""",1.67,449,07:13.0,,,2,1,1,2,5,5,45,5,54,65.4,188900,24.3572998,21.82219887,RU-5,RES_MEDIUM_DENSITY,RES,81.89873505,67.2411499,85.15692139
124,5CAAA761-9370-4752-88AD-32C317C3E19D,Norway maple,Acer,platanoides,NA,ACPL                ,189796,10:57.0,24:31.0,S-P21-ACPL-063,3002,36.0003,-78.89281,"315 Dowd St, Durham, NC 27701, USA",,1.01,421,11:52.0,,"We hypothesize this tree to be an Acer platanoides (Noway maple), even if it is recorded in the city inventory as an Acer truncatus (Shantung maple); leaves are scorched.",2,2,1,1,1,5,35,4,66,62.9,173600,24.51280022,21.95669937,RU-M,RES_HIGH_DENSITY,RES,82.02729797,67.92906952,84.79013824
125,864C0AF8-70A5-49A0-A7A1-32E4AF3F5BD8,Chinese elm,Ulmus,parvifolia,NA,ULPA                ,189796,20:50.0,56:31.5,S-Q21-ULPA-075,6567,35.997008,-78.904461,"Chapel Hill St at Main St, Durham, NC 27701, USA",,4.51,283,22:31.0,,Trunk damage,2,2,1,2,1,3,45,4,55,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.63973236,68.61313629,85.73298645
127,4EED77C2-E7C9-48B3-B315-3497EEFCD33C,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,19:51.0,20:40.1,S-U16-LAUN-001,6931,35.956873,-78.951136,"3400 Dover Rd, Durham, NC 27707, USA","Multistemmed, other dbh 2.5",3.65,287,21:12.0,,Resprout from pruning scar.,2,1,1,1,5,5,55,5,2,2.4,654300,24.38879967,21.90659904,RS-10,RES_LOW_DENSITY,RES,79.65576935,67.42835999,82.02007294
128,BEB59EFB-B10B-4A7B-A16A-3510D4B74C20,red maple,Acer,rubrum,NA,ACRU                ,189796,34:11.0,18:48.9,S-Q21-ACRU-021,3247,35.994177,-78.901882,"Pettigrew St at Mangum St (WB), Durham, NC 27701, USA",,5.6,235,35:46.0,,,2,3,1,2,25,5,55,3,72,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.37853241,69.14945221,84.29981232
129,1F0C008A-6140-4602-BAC9-355826EBEE8B,pecan,Carya,illinoinensis,NA,CAIL2               ,189796,22:07.0,46:38.3,S-O21-CAIL-001,3262,36.003321,-78.896045,"827 Glendale Ave, Durham, NC 27701, USA",Plants growing on the bottom in shrub form; DBH cannot be measured because on private property. We estimated DBH at approximately 3'10'',25,306,25:52.0,,We could not measure DBH because on private property.,2,1,1,1,1,5,35,5,27,74.9,363600,24.47979927,21.92829895,RU-5,RES_MEDIUM_DENSITY,RES,82.18371582,67.57746124,84.52248383
130,FF390277-72F5-4A9F-AF67-359324EBA124,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,40:33.0,11:07.3,S-Q21-GYDI-055,3986,35.996685,-78.905015,"211 W Chapel Hill St, Durham, NC 27701, USA",,3.01,265,42:22.0,,"Trunk damage, large branch dieback",2,4,2,3,55,4,65,2,77,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.72262573,68.63838959,85.56632233
132,B593D2B5-37B8-4DCE-8707-36C56C054E1F,sugar maple,Acer,saccharum,NA,ACSA3               ,189796,16:27.0,,S-R21-ACSA-019,3249,35.979197,-78.904015,"200 Bern St, Durham, NC 27707, USA",Tag with species present; protection at base.,0.75,339,19:07.0,,Tag with species present; protection at base.,2,2,2,2,5,3,35,4,11,81.8,,24.43400002,21.96369934,RU-5,RES_MEDIUM_DENSITY,RES,81.71938324,67.33994293,84.12445068
133,3B2021DD-7E4D-4504-867C-36CB59C4CC04,red maple,Acer,rubrum,NA,ACRU                ,189796,33:03.0,19:02.9,S-Q21-ACRU-029,3247,35.994521,-78.902505,"205 Blackwell St, Durham, NC 27701, USA",,5.35,243,34:36.0,56:03.0,,2,1,1,2,5,4,35,5,84,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.39820862,69.18440247,84.64175415
134,0E01E025-E498-46DB-AAB4-372B9CDD9FB8,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,38:00.0,46:15.0,S-P21-ZESE-030,18056,36.000387,-78.891916,"Dowd St at Gurley St (WB), Durham, NC 27701, USA",,1.2,390,39:02.0,,,2,5,NA,NA,100,NA,95,1,75,62.9,173600,24.51280022,21.95669937,RU-5(2),RES_HIGH_DENSITY,RES,81.73781586,67.72992706,84.94475555
137,89F77935-E16E-4B6F-8212-38F408DB8ECD,red maple,Acer,rubrum,NA,ACRU                ,189796,14:36.0,19:25.1,S-Q21-ACRU-017,3247,35.994012,-78.901581,"Pettigrew St at Mangum St (EB), Durham, NC 27701, USA",,5.1,231,16:12.0,18:54.0,,2,2,1,1,20,5,45,4,72,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.68625641,69.12895966,84.65141296
138,0F57F985-F9B4-4AF4-98C5-393BAC308F99,sweetbay,Magnolia,virginiana,NA,MAVI2               ,189796,59:48.0,,S-O21-MAVI-071,3302,36.00541,-78.89282,"116 E Trinity Ave, Durham, NC 27701, USA",,1.4,321,00:32.0,,,2,2,1,2,10,5,55,4,48,54.5,367200,24.53689957,21.95469856,RU-5(2),RES_HIGH_DENSITY,RES,82.00695801,67.31942749,83.92862701
139,FD74BB97-BE78-4D80-9258-3950F465549C,sweetbay,Magnolia,virginiana,NA,MAVI2               ,189796,55:51.0,,S-O21-MAVI-070,3302,36.005414,-78.892879,"116 E Trinity Ave, Durham, NC 27701, USA",,1,320,57:36.0,,,2,1,1,1,5,5,55,5,48,54.5,367200,24.53689957,21.95469856,RU-5(2),RES_HIGH_DENSITY,RES,82.00695801,67.31942749,83.92862701
140,4D0A816B-A6D5-4313-A7B4-39796E972E69,willow oak,Quercus,phellos,NA,QUPH                ,179696,53:55.0,,S-O21-QUPH-018,3343,36.004969,-78.895896,"1006 Glendale Ave, Durham, NC 27701, USA",,22.7,126,55:04.0,,Some epicormic branching; regrowth from pruning scars; root decay.,2,2,2,1,1,3,25,4,37,54.5,367200,24.55419922,21.90589905,RU-5,RES_MEDIUM_DENSITY,RES,81.34286499,67.41538239,84.0851593
141,AD050AEE-57F0-4D71-9302-39BFC86FDD59,unlisted plant,,,NA,,189796,17:13.0,,S-M19-NYSY-007,59420,36.02518,-78.915492,"1423 Hudson Ave, Durham, NC 27705, USA","DBH measured at 2'11""",12.9,451,18:46.0,,,2,2,2,2,5,4,35,4,36,65.4,188900,24.3572998,21.82219887,RU-5,RES_MEDIUM_DENSITY,RES,81.63088989,67.31222534,84.49240112
143,5ACE1826-90DC-439A-8E18-3B191D21C9D8,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,20:05.0,59:47.3,S-O18-CECA-010,3273,36.008448,-78.938876,"2351 Erwin Rd, Durham, NC 27710, USA","DBH measures at 2'6""Multistemmed, other is 0.6in",1.1,5,23:49.0,,,2,3,3,1,1,5,65,3,69,99.5,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.28395844,70.21091461,85.14554596
144,FBF44CC8-7FF2-41A1-B367-3BCB33986D39,ginkgo,Ginkgo,biloba,NA,GIBI2               ,189796,23:25.0,,S-P21-GIBI-026,3976,36.00037,-78.893028,"1000 N Roxboro St, Durham, NC 27701, USA",,1.5,387,24:38.0,,"Top is broken off, extensive trunk peeling, broken branches",2,4,2,3,30,5,55,2,75,62.9,173600,24.51280022,21.95669937,RU-M,RES_HIGH_DENSITY,RES,82.19676971,68.00340271,84.82437134
145,D4EDED3E-128D-4D5F-8F88-3CDD3E9B2F43,hedge maple,Acer,campestre,NA,ACCA5               ,179696,14:11.0,,S-O21-ACCA-039,12452,36.005336,-78.894436,"921 N Mangum St, Durham, NC 27701, USA",,7.4,146,15:36.0,,,2,2,1,2,5,1,45,4,59,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.77416992,67.56811523,83.78223419
148,B0757714-9605-4231-9A7C-3DB23C072BDF,Kousa dogwood,Cornus,kousa,NA,COKO2               ,189796,26:01.0,,S-T18-COKO-028,17242,35.965844,-78.93382,"3109 Oxford Dr, Durham, NC 27707, USA",DBH measured at 3'8''.,3.48,471,27:25.0,,,2,1,1,1,1,4,35,5,21,24.3,233900,24.47809982,21.98729897,RS-10,RES_LOW_DENSITY,RES,81.47231293,67.59643555,82.95633698
150,BBC9634B-F3CA-45AD-9F55-3EBD931B5A88,unlisted plant,,,NA,,189796,44:00.0,,S-O21-ASTR-067,59420,36.005291,-78.893215,"110 E Trinity Ave, Durham, NC 27701, USA",,0.6,317,45:02.0,,,2,2,2,2,5,4,45,4,37,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.94463348,67.35862732,83.77599335
151,3673A76A-22FC-4A59-A879-402E6AC0D2E1,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,30:35.0,00:02.7,S-O18-CECA-017,3273,36.008337,-78.937852,"Duke Hospital, Durham, NC 27705, USA","DBH measured 2'9""",1.8,12,33:34.0,,,2,1,2,2,1,5,45,5,85,99.5,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.15128326,70.17254639,85.28952026
152,96BE4A1E-5676-4165-AE86-403B7835FF86,elm,Ulmus,spp.,NA,ULMUS               ,189796,39:10.0,,S-P21-ULUN-021,3478,36.0004,-78.894377,"209 Dowd St, Durham, NC 27701, USA",,1.45,382,40:04.0,,,2,2,2,2,15,5,55,4,51,74.9,363600,24.51280022,21.95669937,RU-5,RES_MEDIUM_DENSITY,RES,82.61659241,67.86576843,84.3445282
153,062480DE-3D87-434A-BF03-40D28D87456F,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,46:48.0,03:27.4,S-Q21-ZESE-067,18056,35.996787,-78.903865,"341 W Main St, Durham, NC 27701, USA",,13.5,275,49:14.0,,Trunk damage,2,2,1,2,10,4,45,4,79,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.64367676,68.47671509,85.73755646
154,83F37117-F1A5-426A-8FB2-420EB5DAB930,unlisted plant,,,NA,,189796,54:59.0,,S-M19-NYSY-014,59420,36.025645,-78.915839,"1902 Broad St, Durham, NC 27705, USA","Dbh measured at 3'6""",14.3,588,20:31.0,20:31.0,,2,2,1,2,5,4,35,4,51,65.4,188900,24.3572998,21.82219887,RU-5,RES_MEDIUM_DENSITY,RES,82.10889435,67.06185913,85.24992371
155,03A22C48-9132-4D84-AAA4-422F8E62CB81,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,04:17.0,13:04.0,S-R21-CACA-002,3258,35.979136,-78.902752,"1500 Concord St, Durham, NC 27707, USA",,1,1,49:18.6,,,2,2,2,2,1,4,35,4,25,81.8,,24.52069855,21.97839928,RU-5,RES_MEDIUM_DENSITY,RES,80.95116425,67.55748749,83.91217041
156,E7236CC0-62C8-4B65-88B3-4271919BDADD,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,28:35.0,11:19.7,S-Q21-GYDI-036,3986,35.995747,-78.903392,"212 Ramseur St, Durham, NC 27701, USA",,3.4,250,29:44.0,33:06.0,Fresh pruning,2,1,1,1,1,5,45,5,84,74.9,363600,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.5306778,68.34893036,85.37639618
157,62B8D89F-4FC5-4DB1-8AF4-42E39639F962,eastern redbud,Cercis,canadensis,NA,CECA4               ,203612,49:44.0,37:25.1,S-O18-CECA-003,3273,36.00852,-78.93942,"508 Fulton St, Durham, NC 27705, USA",DBH measured at 3' 1'',1.7,1,53:48.0,,"Additional stems near bottom, not counted.",2,2,2,2,1,5,45,4,71,99.5,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.23704529,70.21443176,85.05796051
158,BAF8FCEE-FD27-4E2A-B471-444A98DA1822,red maple,Acer,rubrum,NA,ACRU                ,189796,22:03.0,19:36.5,S-Q21-ACRU-027,3247,35.994431,-78.902375,"205 Blackwell St, Durham, NC 27701, USA",,4.5,241,23:06.0,56:06.0,,2,3,1,2,35,5,55,3,83,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.05007172,69.19181824,84.34307098
159,DE038F97-E332-4D01-BEE0-450B4B259BAB,bur oak,Quercus,macrocarpa,NA,QUMA2               ,179696,59:03.0,,S-O21-QUMA-036,3329,36.005329,-78.894745,"107 W Trinity Ave, Durham, NC 27701, USA",,1.25,143,00:27.0,,,2,2,2,2,1,2,45,4,14,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.59735107,67.57998657,83.97902679
162,7D1640C2-EEFC-4D41-8186-4695E89D1AFE,ginkgo,Ginkgo,biloba,NA,GIBI2               ,189796,26:59.0,,S-P21-GIBI-027,3976,36.000378,-78.892881,"315 Dowd St, Durham, NC 27701, USA",,1.05,388,28:24.0,,,2,2,1,2,5,5,35,4,66,62.9,173600,24.51280022,21.95669937,RU-M,RES_HIGH_DENSITY,RES,82.07852173,67.90883636,84.79219818
163,1F0A6566-AA74-46E7-8F51-471521C84F1B,willow oak,Quercus,phellos,NA,QUPH                ,189796,53:35.0,26:57.7,S-O18-QUPH-053,3343,36.00802,-78.936939,"2300 Erwin Rd, Durham, NC 27710, USA",,11.2,54,55:25.0,,,2,2,1,2,1,4,15,4,82,100,,24.16559982,21.82219887,UC, , ,83.36241913,69.94987488,85.21235657
165,17371071-FEB0-491E-8374-4898A9AEEBC6,American elm,Ulmus,americana,NA,ULAM                ,189796,08:59.0,53:01.9,S-Q21-ULAM-008,3358,35.99442,-78.90193,"Pettigrew St at Mangum St (WB), Durham, NC 27701, USA",,3.5,223,10:29.0,02:08.6,,2,1,1,2,1,5,35,5,64,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.10249329,69.18244934,84.36929321
166,51B88AE0-56F7-4D96-A5AA-4906371676C4,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,31:33.0,03:40.3,S-Q21-ZESE-063,18056,35.996908,-78.904297,"353 W Main St, Durham, NC 27701, USA",,12.7,271,32:30.0,,,2,2,1,2,5,4,35,4,79,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.6434021,68.53108978,85.76408386
167,F4DDABFB-6CE4-4861-8C39-4948998B62F1,plum/cherry,Prunus,spp.,NA,PRUNU               ,179696,47:21.0,14:05.8,S-O18-PRUN-028,6898,36.008248,-78.936555,"2250 Erwin Rd, Durham, NC 27705, USA","DBH taken at 2'8""",10.3,18,50:20.0,,,2,2,2,2,20,2,25,4,79,100,,24.16559982,21.82219887,UC, , ,83.49343109,69.92417145,85.0867691
168,AF1F1D58-2886-4008-AB53-4AC09DAEBB3F,American elm,Ulmus,americana,NA,ULAM                ,189796,49:17.0,53:14.2,S-Q21-ULAM-005,3358,35.99391,-78.90106,"147 S Mangum St, Durham, NC 27701, USA",,4.9,219,50:30.0,,,2,1,2,2,1,5,15,5,77,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.62831879,69.10063171,84.58312988
170,1D7465CF-8C39-4749-BD74-4B8F6D6BF7A7,European hornbeam,Carpinus,betulus,NA,CABE8               ,189796,00:21.0,32:28.5,S-R21-CACA-034,10632,35.97829,-78.90337,"315 Moline St, Durham, NC 27707, USA",Protection at base; root diaper.,0.96,343,01:29.0,,Protection at base; root diaper.,2,1,2,2,5,3,55,5,40,81.8,,24.52069855,21.97839928,RU-5,RES_MEDIUM_DENSITY,RES,80.69779205,67.35770416,83.45907593
174,00E22697-E5DA-40C4-B77A-4D8B18594005,sweetbay,Magnolia,virginiana,NA,MAVI2               ,189796,01:24.0,,S-O21-MAVI-072,3302,36.005408,-78.892739,"118 E Trinity Ave, Durham, NC 27701, USA",,1.05,322,02:59.0,,,2,1,1,2,1,5,45,5,41,54.5,367200,24.53689957,21.95469856,RU-5(2),RES_HIGH_DENSITY,RES,81.99841309,67.27293396,83.90961456
175,D953E7D1-B13F-4068-8947-4DD5DC3FC006,trident maple,Acer,buergerianum,NA,ACBU4               ,203642,32:31.0,,S-O21-ACBU-040,20243,36.005538,-78.895815,"122 W Trinity Ave, Durham, NC 27701, USA",,1.75,72,34:30.0,,Exposed heartwood at base,2,1,1,2,1,5,35,5,11,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.48171997,67.52327728,84.4493103
176,90E86612-D2F7-4D86-B874-4E3951AFA109,willow oak,Quercus,phellos,NA,QUPH                ,189796,42:25.0,,O21-QUPH-004,3343,36.005055,-78.896164,"1007 Glendale Ave, Durham, NC 27701, USA",We could not measure DBH because the tree is on private property; some trunk sprout; ornamental metal sculpture nailed in the bark. ,16.01,309,44:27.0,,We could not measure DBH because the tree is on private property; some trunk sprout; ornamental metal sculpture nailed in the bark. ,2,1,1,1,1,5,25,5,46,54.5,367200,24.55419922,21.90589905,RU-5,RES_MEDIUM_DENSITY,RES,81.31547546,67.44256592,84.09375
177,DC2FD8FF-EC7A-4AE3-B18A-4F513881321E,ginkgo,Ginkgo,biloba,NA,GIBI2               ,189796,17:06.0,,S-P21-GIBI-024,3976,36.00037,-78.893315,"Dowd St at Roxboro Rd (EB), Durham, NC 27701, USA",,1.3,385,18:21.0,,,2,2,1,2,1,5,25,4,79,62.9,173600,24.51280022,21.95669937,CN,COMMERCIAL,COM,82.22016907,68.01825714,84.79557037
178,BD9DEFFE-9D1D-4603-8C12-4F537DC042E7,plum/cherry,Prunus,spp.,NA,PRUNU               ,203642,43:26.0,,S-O21-PRYE-043,6898,36.005515,-78.895626,"120 W Trinity Ave, Durham, NC 27701, USA",,0.75,75,44:28.0,,,2,1,2,2,1,5,45,5,11,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.56764984,67.55854034,84.44966125
179,9D6F7927-58DE-481D-889F-4F9097CE2E98,plum/cherry,Prunus,spp.,NA,PRUNU               ,179696,08:15.0,,S-O21-PRYE-020,6898,36.005393,-78.895719,"119 W Trinity Ave, Durham, NC 27701, USA",,1.4,128,10:12.0,,Protection at base; some oozing,2,1,2,1,1,5,55,5,19,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.42172241,67.50730133,84.31744385
